source,elapsed_min,total_free_mb,largest_free_mb,script_heap_mb
Long run stress.txt,41.339766666666705,730,686,209
Long run stress.txt,41.42411666666667,715,675,209
Long run stress.txt,41.508450000000025,723,680,209
Long run stress.txt,41.59276666666671,709,675,209
Long run stress.txt,41.6771,715,669,209
Long run stress.txt,41.76143333333336,718,669,209
Long run stress.txt,41.845800000000054,708,669,209
Long run stress.txt,41.93013333333335,713,672,209
Long run stress.txt,42.01441666666669,723,686,209
Long run stress.txt,42.18308333333334,723,686,209
Long run stress.txt,42.26736666666669,707,670,209
Long run stress.txt,42.35171666666671,706,670,209
Long run stress.txt,42.43601666666667,701,670,209
Long run stress.txt,42.52035000000002,702,670,209
Long run stress.txt,42.60466666666671,706,670,209
Long run stress.txt,42.68898333333339,708,662,209
Long run stress.txt,42.773283333333346,703,662,209
Long run stress.txt,42.85760000000003,702,662,209
Long run stress.txt,42.94193333333339,709,662,209
Long run stress.txt,43.026233333333344,714,662,209
Long run stress.txt,43.11175000000003,709,662,209
Long run stress.txt,43.36465000000001,708,662,209
Long run stress.txt,43.70190000000002,711,662,209
Long run stress.txt,43.78618333333337,726,670,209
Long run stress.txt,43.870516666666724,727,670,209
Long run stress.txt,43.95486666666669,726,670,209
Long run stress.txt,44.0391666666667,713,670,209
Long run stress.txt,44.12348333333339,711,670,209
Long run stress.txt,44.20785000000002,706,670,209
Long run stress.txt,44.29218333333338,709,667,209
Long run stress.txt,44.376550000000016,704,667,209
Long run stress.txt,44.46090000000004,709,667,209
Long run stress.txt,44.54525,704,667,209
Long run stress.txt,44.629633333333366,692,659,209
Long run stress.txt,44.713950000000054,706,670,209
Long run stress.txt,44.79830000000002,695,654,209
Long run stress.txt,44.882666666666715,676,639,209
Long run stress.txt,44.966966666666664,681,643,209
Long run stress.txt,45.05131666666669,686,648,209
Long run stress.txt,45.135666666666715,692,648,209
Long run stress.txt,45.22000000000001,693,648,209
Long run stress.txt,45.304350000000035,698,658,209
Long run stress.txt,45.3887,699,658,209
Long run stress.txt,45.55778333333334,699,658,209
Long run stress.txt,45.64326666666669,704,658,209
Long run stress.txt,45.72761666666671,693,658,209
Long run stress.txt,45.896283333333365,698,658,209
Long run stress.txt,46.40220000000002,704,658,209
Long run stress.txt,46.65510000000001,710,658,209
Long run stress.txt,46.992350000000016,704,658,209
Long run stress.txt,47.0766666666667,709,658,209
Long run stress.txt,47.24531666666668,709,658,209
Long run stress.txt,47.58256666666669,703,658,209
Long run stress.txt,47.66688333333338,702,658,209
Long run stress.txt,47.91983333333337,703,658,209
Long run stress.txt,48.00418333333334,701,658,209
Long run stress.txt,48.088500000000025,697,658,209
Long run stress.txt,48.426900000000025,703,658,209
Long run stress.txt,48.51125000000005,698,653,209
Long run stress.txt,48.679850000000016,699,653,209
Long run stress.txt,48.93278333333334,699,653,209
Long run stress.txt,49.18573333333334,701,653,209
Long run stress.txt,49.27006666666669,702,653,209
Long run stress.txt,49.35438333333338,701,653,209
Long run stress.txt,49.438700000000004,700,653,209
Long run stress.txt,49.607366666666714,699,653,209
Long run stress.txt,49.691700000000004,705,653,209
Long run stress.txt,49.77603333333336,705,658,209
